key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星曆
3,蒼穹之禁城
4,龍詩戰爭終章
5,龍詩戰爭尾聲
6,紅蓮之狂潮
7,解放戰爭戰後
8,暗影之逆焰
9,拂曉回歸
10,末日序曲
11,曉月之終途
12,嶄新的冒險
13,蠻神威脅
14,巴哈姆特
15,水晶塔
16,亞歷山大
17,上古眾神
18,瑪哈之影
19,歐米茄時空狹縫
20,歐米茄時空狹縫外傳
21,重返伊瓦利斯
22,四聖獸奇譚
23,伊甸
24,寄葉異聞：暗黑天啟
25,神兵系列
26,萬魔殿
27,艾歐澤亞神話
28,劇情任務
29,日常任務
30,劇情任務
31,日常任務
32,劇情任務
33,日常任務
34,劇情任務
35,日常任務
36,劇情任務
37,日常任務
38,劇情任務
39,日常任務
40,劇情任務
41,日常任務
42,劇情任務
43,日常任務
44,劇情任務
45,日常任務
46,劇情任務
47,日常任務
48,劇情任務
49,日常任務
50,劇情任務
51,日常任務
52,劇情任務
53,日常任務
54,劇情任務
55,日常任務
56,劇情任務
57,日常任務
58,劇情任務
59,日常任務
60,劇情任務
61,日常任務
62,各族盟友
63,各族盟友：蒼穹之章
64,各族盟友：紅蓮之章
65,
66,龍詩戰爭外傳
67,拂曉回歸外傳
68,嶄新的冒險外傳
69,非著名調查員
70,非著名調查員：蒼穹之章
71,非著名調查員：紅蓮之章
72,希爾迪布蘭德歸來
73,曼德維爾武器
74,黃道武器
75,元靈武器
76,禁地優雷卡
77,天佑女王
78,第七靈災回憶錄
79,郵差莫古力
80,聖恩達利姆神學院記
81,虛無界再生計劃
82,塔塔露的大繁榮商店
83,多瑪冒險者團
84,多瑪飛地重建記
85,重建伊修加德：劇情任務
86,重建伊修加德：支線任務
87,莫雯卓越工具
88,死者宮殿
89,天之御柱
90,正統優雷卡
91,無人島開拓記
92,多變迷宮
93,支線任務：拉諾西亞
94,支線任務：黑衣森林
95,支線任務：薩納蘭
96,支線任務：庫爾札斯
97,支線任務：摩杜納
98,支線任務：伊修加德
99,支線任務：阿巴拉提亞雲海
100,支線任務：龍堡參天高地
101,支線任務：龍堡內陸低地
102,支線任務：翻雲霧海
103,支線任務：田園郡
104,支線任務：魔大陸
105,支線任務：神拳痕
106,支線任務：基拉巴尼亞邊區
107,支線任務：基拉巴尼亞山區
108,支線任務：基拉巴尼亞湖區
109,支線任務：黃金港
110,支線任務：紅玉海
111,支線任務：延夏
112,支線任務：太陽神草原
113,支線任務：水晶都
114,支線任務：游末邦
115,支線任務：雷克蘭德
116,支線任務：珂露西亞島
117,支線任務：安穆·艾蘭
118,支線任務：伊爾美格
119,支線任務：拉凱提卡大森林
120,支線任務：黑風海
121,支線任務：舊薩雷安
122,支線任務：拉札罕
123,支線任務：迷津
124,支線任務：薩維奈島
125,支線任務：加雷馬
126,支線任務：嘆息海
127,支線任務：厄爾庇斯
128,支線任務：天外天垓
129,劍術師任務
130,格鬥家任務
131,斧術師任務
132,槍術師任務
133,弓箭手任務
134,雙劍師任務
135,幻術師任務
136,咒術師任務
137,秘術師任務
138,刻木匠任務
139,鍛鐵匠任務
140,鑄甲匠任務
141,雕金匠任務
142,製革匠任務
143,裁衣匠任務
144,煉金術士任務
145,烹調師任務
146,採礦工任務
147,園藝工任務
148,捕魚人任務
149,騎士任務
150,武僧任務
151,戰士任務
152,龍騎士任務
153,吟遊詩人任務
154,忍者任務
155,白魔法師任務
156,黑魔法師任務
157,召喚師任務
158,學者任務
159,暗黑騎士任務
160,機工士任務
161,占星術士任務
162,武士任務
163,赤魔法師任務
164,絕槍戰士任務
165,舞者任務
166,賢者任務
167,釤鐮客任務
168,青魔法師任務
169,金屬工藝部任務
170,手工工藝部任務
171,食藥工藝部任務
172,大地資源部任務
173,水生資源部任務
174,中庸工藝館劇情任務
175,考古系任務
176,天文系任務
177,醫學系任務
178,文化系任務
179,乙太系任務
180,薩雷安魔法大學劇情任務
181,防護職能任務
182,治療職能任務
183,物理進攻職能任務
184,魔法進攻職能任務
185,職能劇情任務
186,防護職能任務：曉月之章
187,治療職能任務：曉月之章
188,近戰職能任務：曉月之章
189,遠程物理職能任務：曉月之章
190,遠程魔法職能任務：曉月之章
191,職能劇情任務：曉月之章
192,黑渦團任務
193,雙蛇黨任務
194,恆輝隊任務
195,季節活動
196,降神節
197,東節
198,戀人節
199,戀人節&女兒節
200,女兒節
201,
202,彩蛋狩獵
203,金碟嘉年華
204,紅蓮節
205,新生慶典
206,守護天節
207,星芒節
208,其他季節活動
209,紀念任務
210,來訪者任務
211,傭兵理符任務
212,刻木匠理符任務
213,鍛鐵匠理符任務
214,鑄甲匠理符任務
215,雕金匠理符任務
216,製革匠理符任務
217,裁衣匠理符任務
218,煉金術士理符任務
219,烹調師理符任務
220,採礦工理符任務
221,園藝工理符任務
222,捕魚人理符任務
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,黑渦團理符任務
241,雙蛇黨理符任務
242,恆輝隊理符任務
243,迷宮挑戰
244,大型任務
245,討伐殲滅戰
246,深層迷宮
247,禁地優雷卡
248,天佑女王
249,特殊迷宮
250,公會令
251,主線劇情任務：第六星曆
252,支線任務：第六星曆
253,職業任務：第六星曆
254,特職任務：第六星曆
255,軍隊任務：第六星曆
